
Host: Rubens-MacBook-Pro-2.local

Timers On : Tue Jan 19 08:25:57 2021
Timers Off: Tue Jan 19 08:27:55 2021

Wall Time:      118.13 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| DFH: AO Construction              :      0.250u      0.000s      0.163w     13 calls
| DFH: AO-Met. Contraction          :      0.017u      0.000s      0.016w     13 calls
HF: Form core H                     :      0.000u      0.050s      0.030w     13 calls
HF: Form S/X                        :      0.000u      0.000s      0.003w     13 calls
HF: Guess                           :      2.017u      0.067s      1.247w     13 calls
| SAD Guess                         :      1.900u      0.067s      1.219w     13 calls
HF: Form G                          :      0.217u      0.000s      0.118w    270 calls
| JK: D                             :      0.033u      0.000s      0.002w    270 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w    270 calls
| JK: JK                            :      0.150u      0.000s      0.110w    270 calls
| | DFH: compute_JK()               :      0.150u      0.000s      0.109w    270 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    270 calls
| | | DFH: compute_J                :      0.083u      0.000s      0.026w    270 calls
| | | DFH: compute_K                :      0.067u      0.000s      0.079w    270 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    270 calls
HF: Form F                          :      0.000u      0.000s      0.002w    270 calls
HF: Form D                          :      0.000u      0.000s      0.002w    270 calls
HF: DIIS                            :      0.133u      0.067s      0.173w    257 calls
| DIISManager::add_entry            :      0.000u      0.033s      0.018w    257 calls
| DIISManager::extrapolate          :      0.017u      0.033s      0.034w    257 calls
| | bMatrix setup                   :      0.017u      0.033s      0.014w    257 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.008w    257 calls
| | New vector                      :      0.000u      0.000s      0.009w    257 calls
HF: Form C                          :      0.067u      0.000s      0.036w    257 calls
DFMP2 Singles                       :      0.000u      0.000s      0.001w     13 calls
DFMP2 Aia                           :      0.600u      0.017s      0.371w     13 calls
| DFMP2 (A|mn)                      :      0.183u      0.000s      0.122w     13 calls
| DFMP2 (A|mn)C_mi                  :      0.033u      0.000s      0.002w     13 calls
| DFMP2 (A|mi)C_na                  :      0.000u      0.000s      0.001w     13 calls
| DFMP2 Aia Write                   :      0.000u      0.017s      0.002w     13 calls
DFMP2 iaQ                           :      0.233u      0.050s      0.171w     13 calls
| DFMP2 Metric                      :      0.233u      0.000s      0.142w     13 calls
| DFMP2 Aia Read                    :      0.000u      0.000s      0.003w     13 calls
| DFMP2 (Q|A)(A|ia)                 :      0.000u      0.000s      0.005w     26 calls
| DFMP2 Qia Write                   :      0.000u      0.000s      0.001w     13 calls
| DFMP2 Qia Read                    :      0.000u      0.000s      0.000w     13 calls
| DFMP2 Bia Write                   :      0.000u      0.000s      0.001w     13 calls
DFMP2 aiQ                           :      0.000u      0.033s      0.015w     13 calls
DFMP2 Tij                           :      0.050u      0.000s      0.024w     13 calls
| DFMP2 Qia Read                    :      0.000u      0.000s      0.001w     26 calls
| DFMP2 Cia Read                    :      0.000u      0.000s      0.000w     13 calls
| DFMP2 I                           :      0.000u      0.000s      0.004w     13 calls
| DFMP2 T2                          :      0.000u      0.000s      0.002w     13 calls
| DFMP2 G                           :      0.017u      0.000s      0.004w     13 calls
| DFMP2 Pab                         :      0.017u      0.000s      0.001w     13 calls
| DFMP2 Gia Write                   :      0.000u      0.000s      0.002w     13 calls
DFMP2 Tab                           :      0.017u      0.000s      0.015w     13 calls
| DFMP2 Qai Read                    :      0.017u      0.000s      0.001w     26 calls
| DFMP2 I                           :      0.000u      0.000s      0.004w     13 calls
| DFMP2 T2                          :      0.000u      0.000s      0.002w     13 calls
| DFMP2 Pij                         :      0.000u      0.000s      0.001w     13 calls
DFMP2 gamma                         :      0.017u      0.017s      0.015w     13 calls
| DFMP2 Gia Read                    :      0.000u      0.000s      0.001w     13 calls
| DFMP2 Cia Read                    :      0.000u      0.000s      0.001w     13 calls
| DFMP2 g                           :      0.017u      0.000s      0.003w     13 calls
DFMP2 Gia                           :      0.017u      0.033s      0.037w     13 calls
| DFMP2 Gia Read                    :      0.000u      0.000s      0.001w     13 calls
| DFMP2 aiG Write                   :      0.000u      0.000s      0.007w     13 calls
DFMP2 AB^x                          :      0.183u      0.000s      0.129w     13 calls
DFMP2 Amn^x                         :      1.150u      0.050s      0.721w     13 calls
DFMP2 L                             :      0.650u      0.033s      0.380w     13 calls
DFMP2 P                             :      0.000u      0.000s      0.009w     13 calls
DFMP2 W                             :      0.000u      0.000s      0.010w     13 calls
DFMP2 Z                             :      1.233u      0.083s      0.810w     13 calls
| DFH: sparsity prep                :      0.217u      0.000s      0.135w     13 calls
| DFH: initialize()                 :      0.783u      0.067s      0.482w     13 calls
| | DFH: AO Construction            :      0.300u      0.017s      0.166w     13 calls
| | DFH: AO-Met. Contraction        :      0.033u      0.000s      0.015w     13 calls
| JK: D                             :      0.000u      0.000s      0.001w    203 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w    203 calls
| JK: JK                            :      0.217u      0.000s      0.126w    203 calls
| | DFH: compute_JK()               :      0.217u      0.000s      0.125w    203 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    203 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.021w    203 calls
| | | DFH: compute_K                :      0.217u      0.000s      0.101w    203 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    203 calls

**************************************************************************************

Host: Rubens-MacBook-Pro-2.local

Timers On : Tue Jan 19 08:59:17 2021
Timers Off: Tue Jan 19 09:00:03 2021

Wall Time:       46.81 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      4.500u      0.200s      2.849w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      4.500u      0.200s      2.849w      1 calls

**************************************************************************************

Host: Rubens-MacBook-Pro-2.local

Timers On : Tue Jan 19 09:03:13 2021
Timers Off: Tue Jan 19 09:03:14 2021

Wall Time:        0.80 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: Rubens-MacBook-Pro-2.local

Timers On : Tue Jan 19 09:03:37 2021
Timers Off: Tue Jan 19 09:03:38 2021

Wall Time:        0.51 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: Rubens-MacBook-Pro-2.local

Timers On : Tue Jan 19 09:03:46 2021
Timers Off: Tue Jan 19 09:04:00 2021

Wall Time:       13.87 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.567u      0.067s      0.380w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.567u      0.067s      0.380w      1 calls

**************************************************************************************

Host: Rubens-MacBook-Pro-2.local

Timers On : Tue Jan 19 09:13:44 2021
Timers Off: Tue Jan 19 09:13:45 2021

Wall Time:        1.09 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: Rubens-MacBook-Pro-2.local

Timers On : Tue Jan 19 09:14:45 2021
Timers Off: Tue Jan 19 09:14:59 2021

Wall Time:       13.65 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.550u      0.050s      0.388w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.550u      0.050s      0.388w      1 calls

**************************************************************************************

Host: Rubens-MacBook-Pro-2.local

Timers On : Tue Jan 19 09:17:44 2021
Timers Off: Tue Jan 19 09:17:59 2021

